age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,class,predicted
<=28,Private,Dropout,Never-Married,Blue-Collar,Own-child,Black,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
<=28,Local-gov,Associates,Married,Other,Husband,White,Male,0,0,<=40,>50K,>50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,Black,Male,High,0,<=40,>50K,>50K
(28-37],Private,Dropout,Never-Married,Service,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,Prof-School,Married,Professional,Husband,White,Male,Low,0,<=40,>50K,>50K
<=28,Private,High School grad,Never-Married,Service,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,<=40,>50K,>50K
(28-37],Federal-gov,Bachelors,Married,Admin,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,>45,>50K,>50K
(37-47],Private,Masters,Married,White-Collar,Husband,White,Male,0,0,>45,>50K,>50K
<=28,State-gov,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Admin,Wife,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Widowed,Blue-Collar,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,Bachelors,Married,Other,Husband,White,Male,0,0,>45,>50K,>50K
(28-37],Private,High School grad,Never-Married,Service,Own-child,Black,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,(40-45],<=50K,<=50K
<=28,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,>45,>50K,>50K
<=28,Private,High School grad,Never-Married,Admin,Own-child,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Separated,Blue-Collar,Unmarried,Black,Male,0,0,>45,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Self-emp-not-inc,High School grad,Never-Married,Professional,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
(37-47],State-gov,High School grad,Married,White-Collar,Husband,Black,Male,High,0,<=40,>50K,>50K
>47,Self-emp-not-inc,Dropout,Widowed,Service,Unmarried,White,Female,0,0,>45,<=50K,<=50K
<=28,Self-emp-not-inc,Bachelors,Never-Married,Sales,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
<=28,Local-gov,High School grad,Married,Other,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Separated,White-Collar,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Local-gov,Bachelors,Married,Professional,Husband,White,Male,0,0,<=40,>50K,>50K
<=28,Private,Dropout,Never-Married,Service,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Masters,Married,Professional,Husband,White,Male,0,0,>45,>50K,>50K
(37-47],Self-emp-inc,Associates,Married,Sales,Husband,White,Male,0,0,(40-45],>50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Dropout,Married,Service,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,State-gov,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Associates,Married,Professional,Wife,White,Female,0,0,<=40,>50K,<=50K
(37-47],Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,>45,<=50K,<=50K
>47,Private,Dropout,Separated,Service,Not-in-family,Black,Female,0,0,<=40,<=50K,<=50K
>47,Self-emp-inc,High School grad,Widowed,White-Collar,Not-in-family,White,Female,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<=40,<=50K,<=50K
